n,depth,alpha,seed,rule,chi,peak_weight,R,min_abs_Z,fidelity,discarded_weight,seconds
12,18,0.1,0,top_chi,2,0.0626337,0.416667,0.11007,2.62272e-05,11.5063,0.0495077
12,18,0.1,0,top_chi,4,0.0626337,0.916667,0.00980745,0.0373466,5.96285,0.0408973
12,18,0.1,0,top_chi,8,0.0626337,1,0.100626,0.112111,3.18667,0.0592023
12,18,0.1,0,top_chi,16,0.0626337,1,0.0938397,0.353154,1.3799,0.0906528
12,18,0.1,0,top_chi,32,0.0626337,1,0.123124,0.77696,0.306529,0.151319
12,18,0.1,0,top_chi,64,0.0626337,1,0.0992889,1,0,0.176067
12,18,0.1,0,random,2,0.0626337,0.166667,0.0121243,0.000337257,88.4657,0.0581813
12,18,0.1,0,random,4,0.0626337,0.583333,0.180834,4.53678e-05,65.3093,0.0360161
12,18,0.1,0,random,8,0.0626337,0.5,0.0151051,0.000127558,39.4542,0.0610655
12,18,0.1,0,random,16,0.0626337,0.666667,1.73393e-05,0.0020207,21.7604,0.0897071
12,18,0.1,0,random,32,0.0626337,0.583333,0.00974551,4.97952e-05,8.7839,0.121282
12,18,0.1,0,random,64,0.0626337,1,0.0992889,1,0,0.159775
12,18,0.1,1,top_chi,2,0.0662931,0.833333,0.00113686,0.0017382,11.9662,0.0333938
12,18,0.1,1,top_chi,4,0.0662931,0.833333,0.0325051,0.0146462,5.99771,0.0326808
12,18,0.1,1,top_chi,8,0.0662931,0.75,0.000714034,0.0728186,3.46597,0.0410124
12,18,0.1,1,top_chi,16,0.0662931,1,0.0626833,0.283956,1.74636,0.0610268
12,18,0.1,1,top_chi,32,0.0662931,1,0.0780435,0.728626,0.404852,0.106699
12,18,0.1,1,top_chi,64,0.0662931,1,0.0931862,1,0,0.137118
12,18,0.1,1,random,2,0.0662931,0.666667,0.0455699,0.000944849,80.6944,0.0297632
12,18,0.1,1,random,4,0.0662931,0.666667,0.0258441,0.000152361,61.3086,0.0305789
12,18,0.1,1,random,8,0.0662931,0.583333,0.00295815,0.00011685,46.6969,0.0379066
12,18,0.1,1,random,16,0.0662931,0.416667,0.00904719,0.000624525,22.727,0.0493907
12,18,0.1,1,random,32,0.0662931,0.583333,0.000907401,5.85848e-05,9.26604,0.0968574
12,18,0.1,1,random,64,0.0662931,1,0.0931862,1,0,0.121229
12,18,0.1,2,top_chi,2,0.0792884,0.833333,0.00106986,0.00847525,10.2311,0.0256413
12,18,0.1,2,top_chi,4,0.0792884,0.916667,0.000803143,0.0405123,5.99253,0.0269384
12,18,0.1,2,top_chi,8,0.0792884,0.916667,0.00885507,0.104929,3.56548,0.0335247
12,18,0.1,2,top_chi,16,0.0792884,0.916667,0.0232685,0.277297,1.81543,0.0436686
12,18,0.1,2,top_chi,32,0.0792884,1,0.0652769,0.723665,0.432732,0.093614
12,18,0.1,2,top_chi,64,0.0792884,1,0.0911349,1,0,0.126811
12,18,0.1,2,random,2,0.0792884,0.583333,0.0286035,6.45915e-05,76.6109,0.0287556
12,18,0.1,2,random,4,0.0792884,0.333333,0.00983451,0.000320234,63.0344,0.0315422
12,18,0.1,2,random,8,0.0792884,0.25,0.0210777,0.000377597,45.3471,0.0442679
12,18,0.1,2,random,16,0.0792884,0.333333,0.0190324,0.000146707,22.1089,0.0436622
12,18,0.1,2,random,32,0.0792884,0.5,0.00196074,0.000178165,7.6226,0.0955746
12,18,0.1,2,random,64,0.0792884,1,0.0911349,1,0,0.128956
12,18,0.1,3,top_chi,2,0.0694469,0.666667,0.0677272,0.000161788,10.6292,0.0249651
12,18,0.1,3,top_chi,4,0.0694469,0.833333,0.0214424,0.00953496,5.82566,0.0286755
12,18,0.1,3,top_chi,8,0.0694469,1,0.0408837,0.1077,3.28721,0.0399989
12,18,0.1,3,top_chi,16,0.0694469,1,0.0534262,0.320185,1.60837,0.0546865
12,18,0.1,3,top_chi,32,0.0694469,1,0.0624149,0.745707,0.380756,0.0973898
12,18,0.1,3,top_chi,64,0.0694469,1,0.0669646,1,0,0.132279
12,18,0.1,3,random,2,0.0694469,0.416667,0.0526885,0.000175199,88.0797,0.0494391
12,18,0.1,3,random,4,0.0694469,0.333333,0.0221602,0.000574934,59.5619,0.0748084
12,18,0.1,3,random,8,0.0694469,0.416667,0.0612816,7.83485e-05,37.1188,0.0641053
12,18,0.1,3,random,16,0.0694469,0.583333,0.0171204,0.000605244,25.028,0.067806
12,18,0.1,3,random,32,0.0694469,0.5,0.00196113,4.14598e-05,8.42668,0.117899
12,18,0.1,3,random,64,0.0694469,1,0.0669646,1,0,0.129063
12,18,0.1,4,top_chi,2,0.0773034,0.666667,0.0621011,0.00211455,10.6136,0.0273618
12,18,0.1,4,top_chi,4,0.0773034,1,0.0193338,0.0178667,6.22211,0.0243539
12,18,0.1,4,top_chi,8,0.0773034,1,0.107888,0.108899,3.21641,0.031717
12,18,0.1,4,top_chi,16,0.0773034,1,0.139791,0.360607,1.43213,0.0506072
12,18,0.1,4,top_chi,32,0.0773034,1,0.114592,0.786869,0.303215,0.0958312
12,18,0.1,4,top_chi,64,0.0773034,1,0.108314,1,0,0.123485
12,18,0.1,4,random,2,0.0773034,0.666667,0.0468113,2.22886e-05,89.0904,0.0384411
12,18,0.1,4,random,4,0.0773034,0.333333,0.0835194,0.000201196,60.2441,0.0604462
12,18,0.1,4,random,8,0.0773034,0.333333,0.0163594,0.000134129,33.9614,0.070064
12,18,0.1,4,random,16,0.0773034,0.583333,0.0273534,0.000140755,20.6451,0.06972
12,18,0.1,4,random,32,0.0773034,0.5,0.0190934,0.00036597,6.41343,0.116775
12,18,0.1,4,random,64,0.0773034,1,0.108314,1,0,0.144886
16,24,0,0,top_chi,2,1,0.8125,0.00199037,0.000834331,20.021,0.0586241
16,24,0,0,top_chi,4,1,1,0.0139025,0.0163193,12.2049,0.0795106
16,24,0,0,top_chi,8,1,1,0.134357,0.0812954,6.9598,0.0822989
16,24,0,0,top_chi,16,1,1,0.309685,0.239768,4.30883,0.113541
16,24,0,0,top_chi,32,1,1,0.518429,0.468557,2.39445,0.291415
16,24,0,0,top_chi,64,1,1,0.755602,0.734561,0.999897,4.58035
16,24,0,0,top_chi,128,1,1,0.94529,0.943841,0.182441,17.5838
16,24,0,0,top_chi,256,1,1,1,1,0,20.8892
16,24,0,0,random,2,1,0.6875,0.0611772,8.51395e-06,160.938,0.0986849
16,24,0,0,random,4,1,0.5625,0.0216783,1.38806e-05,142.116,0.171554
16,24,0,0,random,8,1,0.4375,0.00428362,1.0519e-07,95.197,0.161552
16,24,0,0,random,16,1,0.5,0.0101654,2.3036e-06,72.6141,0.217579
16,24,0,0,random,32,1,0.4375,0.00043926,1.38713e-05,51.4395,0.507087
16,24,0,0,random,64,1,0.375,0.0112847,2.21587e-06,32.2513,5.6038
16,24,0,0,random,128,1,0.5625,0.000169863,2.94112e-05,10.5428,19.8484
16,24,0,0,random,256,1,1,1,1,0,41.5659
16,24,0,1,top_chi,2,1,0.5,0.00519032,6.69014e-07,21.526,0.157143
16,24,0,1,top_chi,4,1,0.5,0.00708889,0.00245506,14.1466,0.192925
